brand,category,name,volume,price,highMockupPrice,imglink
Superfresh,konserve,Tonbalığılight,2x160 g,26.90₺,27.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09050582/09050582-186910.jpg
Berrak,konserve,Dilimliközlenmişbiber,690 g,11.75₺,12.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09033770/berrak-dilimli-kozlenmis-biber-680-gr-c02527.jpg
Pınar,konserve,Lighttonbalığı,2x160 g,20.90₺,25.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09059978/pinar-light-ton-baligi-2x160-gr-21ed90.jpg
Talia,konserve,Lahanaturşusu,450 g,15.90₺,16.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09100092/09100092-a49b57.jpg
Tat,konserve,Uskumrufiletosade,160 g,11.96₺,16.96₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09050858/09050858-e99997.jpg
Melis,konserve,Közlenmişdilmlijalapeno,340g,9.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035734/09035734-c4b8f2.jpg
Tukaş,konserve,Fasulyehaşlama,830 g,7.50₺,12.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09032530/tukas-fasulye-haslama-830-gr-cc4512.jpg
Sera,konserve,Çağlaturşusu,700 g,12.95₺,13.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09102031/sera-cagla-tursusu-700-g-bef471.jpg
Jack Daniels,sos,Barbeküglazetatlı,275 g,39.75₺,41.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09102054/09102054-2c79b0.jpg
Fersan,sos,Condimentobıancosirke,500 ml,32.95₺,34.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09112119/09112119-3b4021.jpg
Heinz,sos,Acıketçap,342 g,10.45₺,11.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16290748/heinz-aci-ketcap-342-gr-4b5400.jpg
